title;answer;type;year;attribution;occurrences;folder;plannedClues;processedAssets
Aladdin;Aladdin (film, 1986, réalisateur : Bruno Corbucci);film;1986;réalisateur : Bruno Corbucci;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-aladdin-1986;3;0
Big Fish;Big Fish (film, 2003, réalisateur : Tim Burton);film;2003;réalisateur : Tim Burton;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-big-fish-2003;3;0
Blade Runner;Blade Runner (film, 1982, réalisateur : Ridley Scott);film;1982;réalisateur : Ridley Scott;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-blade-runner-1982;3;0
Django Unchained;Django Unchained (film, 2012, réalisateur : Quentin Tarantino);film;2012;réalisateur : Quentin Tarantino;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-django-unchained-2012;3;0
Forrest Gump;Forrest Gump (film, 1994, réalisateur : Robert Zemeckis);film;1994;réalisateur : Robert Zemeckis;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-forrest-gump-1994;3;0
Friends;Friends (film, 1994, réalisateur : David Crane, Marta Kauffman);film;1994;réalisateur : David Crane, Marta Kauffman;2;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-friends-1994;3;0
Fury;Fury (film, 2014, réalisateur : David Ayer);film;2014;réalisateur : David Ayer;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-fury-2014;3;0
Gladiator;Gladiator (film, 2000, réalisateur : Ridley Scott);film;2000;réalisateur : Ridley Scott;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-gladiator-2000;3;0
Gossip Girl;Gossip Girl (film, 2007, réalisateur : Josh Schwartz, Stephanie Savage);film;2007;réalisateur : Josh Schwartz, Stephanie Savage;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-gossip-girl-2007;3;0
Hamnet;Hamnet (film, 2025, réalisateur : Chloé Zhao);film;2025;réalisateur : Chloé Zhao;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-hamnet-2025;3;0
Je suis une légende;Je suis une légende (film, 2007, réalisateur : Francis Lawrence);film;2007;réalisateur : Francis Lawrence;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-je-suis-une-legende-2007;3;0
Là-haut;Là-haut (film, 2009, réalisateur : Pete Docter);film;2009;réalisateur : Pete Docter;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-la-haut-2009;3;0
Princesse Mononoké;Princesse Mononoké (film, 1997, réalisateur : Hayao Miyazaki);film;1997;réalisateur : Hayao Miyazaki;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-princesse-mononoke-1997;3;0
Shutter Island;Shutter Island (film, 2010, réalisateur : Martin Scorsese);film;2010;réalisateur : Martin Scorsese;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-shutter-island-2010;3;0
Star Wars;Star Wars (film, 1977, réalisateur : George Lucas);film;1977;réalisateur : George Lucas;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-star-wars-1977;3;0
Titanic;Titanic (film, 1997, réalisateur : James Cameron);film;1997;réalisateur : James Cameron;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/film-titanic-1997;3;0
Animal Crossing;Animal Crossing (jeu vidéo, 2001, studio : Nintendo Entertainment Analysis and Development);jeu video;2001;studio : Nintendo Entertainment Analysis and Development;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-animal-crossing-2001;3;0
Diablo II;Diablo II (jeu vidéo, 2000, studio : Blizzard North);jeu video;2000;studio : Blizzard North;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-diablo-ii-2000;3;0
Elden Ring;Elden Ring (jeu vidéo, 2022, studio : FromSoftware);jeu video;2022;studio : FromSoftware;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-elden-ring-2022;3;0
God of War Ragnarök;God of War Ragnarök (jeu vidéo, 2022, studio : Santa Monica Studio);jeu video;2022;studio : Santa Monica Studio;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-god-of-war-ragnarok-2022;3;0
Gran Turismo 4;Gran Turismo 4 (jeu vidéo, 2004, studio : Polyphony Digital);jeu video;2004;studio : Polyphony Digital;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-gran-turismo-4-2004;3;0
Grand Theft Auto V;Grand Theft Auto V (jeu vidéo, 2013, studio : Rockstar Leeds, Rockstar London, Rockstar New England);jeu video;2013;studio : Rockstar Leeds, Rockstar London, Rockstar New England;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-grand-theft-auto-v-2013;3;0
Hollow Knight;Hollow Knight (jeu vidéo, 2017, studio : Team Cherry);jeu video;2017;studio : Team Cherry;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-hollow-knight-2017;3;0
Outer Wilds;Outer Wilds (jeu vidéo, 2019, studio : Mobius Digital);jeu video;2019;studio : Mobius Digital;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-outer-wilds-2019;3;0
Pokémon;Pokémon (jeu vidéo, 1996, studio : Game Freak);jeu video;1996;studio : Game Freak;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-pokemon-1996;3;0
Red Dead Redemption 2;Red Dead Redemption 2 (jeu vidéo, 2018, studio : Rockstar Studios);jeu video;2018;studio : Rockstar Studios;2;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-red-dead-redemption-2-2018;3;0
Stardew Valley;Stardew Valley (jeu vidéo, 2016, studio : ConcernedApe);jeu video;2016;studio : ConcernedApe;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-stardew-valley-2016;3;0
World of Warcraft;World of Warcraft (jeu vidéo, 2004, studio : Blizzard Entertainment);jeu video;2004;studio : Blizzard Entertainment;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/jeu-video-world-of-warcraft-2004;3;0
1984;1984 (livre, 1948, auteur : George Orwell);livre;1948;auteur : George Orwell;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-1984-1948;3;0
Deux ans de vacances;Deux ans de vacances (livre, 1888, auteur : Jules Verne);livre;1888;auteur : Jules Verne;1;data/generated/indices-quiz-sondage-autocomplete-preview/oeuvres/livre-deux-ans-de-vacances-1888;3;0
